class_id,class_name,train_count,val_count,test_count,total_count
0,Abeliophyllum distichum,4,1,1,6
1,Abutilon theophrasti,523,74,151,748
2,Acacia angustissima,7,1,2,10
3,Acacia auriculiformis,23,2,9,34
4,Acacia baileyana,49,7,15,71
5,Acacia berlandieri,4,1,1,6
6,Acacia brevispica,9,1,3,13
7,Acacia caven,8,1,3,12
8,Acacia cognata,3,1,1,5
9,Acacia confluens,6,1,2,9
10,Acacia confusa,4,1,1,6
11,Acacia dealbata,899,128,258,1285
12,Acacia drepanolobium,18,2,7,27
13,Acacia etbaica,6,1,2,9
14,Acacia farnesiana,3,1,1,5
15,Acacia heterophylla,35,5,10,50
16,Acacia hockii,7,1,2,10
17,Acacia koaia,5,1,2,8
18,Acacia longifolia,91,13,26,130
19,Acacia mangium,18,2,7,27
20,Acacia mearnsii,91,13,26,130
21,Acacia melanoxylon,72,10,22,104
22,Acacia mellifera,21,3,6,30
23,Acacia nilotica,7,1,2,10
24,Acacia podalyriifolia,11,2,4,17
25,Acacia pravissima,2,1,1,4
26,Acacia pycnantha,39,5,13,57
27,Acacia redolens,4,1,1,6
28,Acacia retinodes,227,32,66,325
29,Acacia rigidula,2,1,1,4
30,Acacia saligna,73,9,23,105
31,Acacia senegalensis,2,1,1,4
32,Acacia seyal,18,2,7,27
33,Acacia simplex,2,1,1,4
34,Acacia spirorbis,7,1,2,10
35,Acacia tortilis,20,2,7,29
36,Acacia tortuosa,6,1,2,9
37,Acacia xanthophloea,13,1,5,19
38,Acalypha aristata,10,1,4,15
39,Acalypha crenata,8,1,3,12
40,Acalypha hispida,132,19,40,191
41,Acalypha indica,75,10,23,108
42,Acalypha integrifolia,6,1,2,9
43,Acalypha macrostachya,11,1,4,16
44,Acalypha spp.,1038,148,298,1484
45,Acalypha virginica,101,14,30,145
46,Acalypha wilkesiana,209,29,61,299
47,Achyranthes aspera,72,10,21,103
48,Aciotis rubricaulis,3,1,1,5
49,Adenostyles alliariae,231,33,67,331
50,Adenostyles alpina,350,50,100,500
51,Adenostyles leucophylla,64,9,19,92
52,Adlumia fungosa,2,1,1,4
53,Adonis aestivalis,79,11,24,114
54,Adonis annua,100,14,29,143
55,Adonis flammea,20,2,7,29
56,Adonis microcarpa,6,1,2,9
57,Adonis pyrenaica,7,1,3,11
58,Adonis vernalis,114,16,34,164
59,Aegopodium podagraria,2088,298,597,2983
60,Aeschynomene americana,9,1,4,14
61,Aextoxicon punctatum,4,1,2,7
62,Ageratum conyzoides,658,94,189,941
63,Aizoanthemum hispanicum,4,1,1,6
64,Aizoon canariense,9,1,4,14
65,Alcea biennis,58,8,17,83
66,Alcea rosea,3749,535,1073,5357
67,Alcea setosa,16,2,6,24
68,Alibertia edulis,3,1,1,5
69,Alliaria petiolata,6001,857,1716,8574
70,Allium ampeloprasum,685,97,197,979
71,Alocasia baginda,2,1,1,4
72,Alocasia cucullata,95,14,28,137
73,Alocasia cuprea,6,1,2,9
74,Alocasia lauterbachiana,12,1,5,18
75,Alocasia longiloba,53,7,16,76
