sample_id,source_id,source_image_path,class_id,class_name,split,curated_path,image_path,source_sha256,curated_sha256,image_sha256,recipe_id,image_bytes,width,height
op_dd287a3ba3608f743b0095ec,PlantVillage,Plant_leave_diseases_dataset_with_augmentation/Apple___healthy/image (893).JPG,665,Malus pumila,train,train/Malus pumila/PV_image (893).JPG,train/Malus pumila/PV_image (893).png,,,,rgb_resize256_png_v1,,,
op_d0ade4b24d77a3fa2ee11b4b,PlantVillage,Plant_leave_diseases_dataset_with_augmentation/Apple___healthy/image (1544).JPG,665,Malus pumila,train,train/Malus pumila/PV_image (1544).JPG,train/Malus pumila/PV_image (1544).png,,,,rgb_resize256_png_v1,,,
op_c13a07d2289ee064471f0dbd,OLID I,OLID I/ash_gourd__healthy/ash_gourd__healthy (64).JPG,186,Benincasa hispida,train,train/Benincasa hispida/OLID_ash_gourd__healthy (64).JPG,train/Benincasa hispida/OLID_ash_gourd__healthy (64).png,,,,rgb_resize256_png_v1,,,
op_8ce8e7864cfdca89a7aa4a0f,OLID I,OLID I/ash_gourd__healthy/ash_gourd__healthy (24).JPG,186,Benincasa hispida,train,train/Benincasa hispida/OLID_ash_gourd__healthy (24).JPG,train/Benincasa hispida/OLID_ash_gourd__healthy (24).png,,,,rgb_resize256_png_v1,,,
op_b86db609cf0ea4a3a90ec4da,PlantDoc,PlantDoc-Dataset-master/train/Apple leaf/Apple_train_049.jpg,665,Malus pumila,train,train/Malus pumila/PD_Apple_train_049.jpg,train/Malus pumila/PD_Apple_train_049.png,,,,rgb_resize256_png_v1,,,
op_94036c0220b948c69e0517c3,PlantDoc,PlantDoc-Dataset-master/train/Apple leaf/Apple_train_033.jpg,665,Malus pumila,train,train/Malus pumila/PD_Apple_train_033.jpg,train/Malus pumila/PD_Apple_train_033.png,,,,rgb_resize256_png_v1,,,
op_67ce92a8f2c94ad5b1dcb548,PP2020,Plant Pathology 2020 - FGVC7/images/Train_337.jpg,665,Malus pumila,train,train/Malus pumila/PP2020_Train_337.jpg,train/Malus pumila/PP2020_Train_337.png,,,,rgb_resize256_png_v1,,,
op_fe9319a7cdf327bf60a6c966,PP2020,Plant Pathology 2020 - FGVC7/images/Train_1304.jpg,665,Malus pumila,train,train/Malus pumila/PP2020_Train_1304.jpg,train/Malus pumila/PP2020_Train_1304.png,,,,rgb_resize256_png_v1,,,
op_d9dd251785d92d5101079889,Fruit Leaf,A Database of Leaf Images Practice towards Plant Conservation with Plant Pathology/Alstonia Scholaris (P2)/healthy/0003_0021.JPG,84,Alstonia scholaris,train,train/Alstonia scholaris/Fruit Leaf_Alstonia scholaris_0001.JPG,train/Alstonia scholaris/Fruit Leaf_Alstonia scholaris_0001.png,,,,rgb_resize256_png_v1,,,
op_b9a3762cc6657184488c2d84,Fruit Leaf,A Database of Leaf Images Practice towards Plant Conservation with Plant Pathology/Alstonia Scholaris (P2)/healthy/0003_0175.JPG,84,Alstonia scholaris,train,train/Alstonia scholaris/Fruit Leaf_Alstonia scholaris_0002.JPG,train/Alstonia scholaris/Fruit Leaf_Alstonia scholaris_0002.png,,,,rgb_resize256_png_v1,,,
op_5868c0218b52e67fef210d81,RiceDID,Rice Diseases Image Dataset/LabelledRice/Labelled/Healthy/IMG_20190419_140941.jpg,794,Oryza sativa,train,train/Oryza sativa/RiceDID_IMG_20190419_140941.jpg,train/Oryza sativa/RiceDID_IMG_20190419_140941.png,,,,rgb_resize256_png_v1,,,
op_483e1cfed19d1fd73d2982e9,RiceDID,Rice Diseases Image Dataset/LabelledRice/Labelled/Healthy/IMG_20190419_102219.jpg,794,Oryza sativa,train,train/Oryza sativa/RiceDID_IMG_20190419_102219.jpg,train/Oryza sativa/RiceDID_IMG_20190419_102219.png,,,,rgb_resize256_png_v1,,,
op_028cda23101537451e01eb7a,CucumberPDD,Cucumber plant diseases dataset/training/good_Cucumber/photo_2020-06-28_00-00-32.jpg,325,Cucumis sativus,train,train/Cucumis sativus/CucumberPDD_photo_2020-06-28_00-00-32.jpg,train/Cucumis sativus/CucumberPDD_photo_2020-06-28_00-00-32.png,,,,rgb_resize256_png_v1,,,
op_d6987f053e6c9cf48326ca8e,CucumberPDD,Cucumber plant diseases dataset/testing/good_Cucumber/photo_2020-06-28_00-00-48 (2).jpg,325,Cucumis sativus,train,train/Cucumis sativus/CucumberPDD_photo_2020-06-28_00-00-48 (2).jpg,train/Cucumis sativus/CucumberPDD_photo_2020-06-28_00-00-48 (2).png,,,,rgb_resize256_png_v1,,,
op_bd1569a05907ea502d4d5699,WheatLD,Wheat Leaf Dataset/Healthy/loh(35).JPG,1128,Triticum aestivum,train,train/Triticum aestivum/WheatLD_loh(35).JPG,train/Triticum aestivum/WheatLD_loh(35).png,,,,rgb_resize256_png_v1,,,
op_5af3f5ead360f658ed3bafa9,WheatLD,Wheat Leaf Dataset/Healthy/loh(7).JPG,1128,Triticum aestivum,train,train/Triticum aestivum/WheatLD_loh(7).JPG,train/Triticum aestivum/WheatLD_loh(7).png,,,,rgb_resize256_png_v1,,,
op_3ba5b5c051b4c93742e49575,CGIAR,CGIAR Computer Vision for Crop Disease/train/train/healthy_wheat/K4BR5D.jpg,1128,Triticum aestivum,train,train/Triticum aestivum/CGIAR_K4BR5D.jpg,train/Triticum aestivum/CGIAR_K4BR5D.png,,,,rgb_resize256_png_v1,,,
op_b2c9da2882cd5d86330d820a,CGIAR,CGIAR Computer Vision for Crop Disease/train/train/healthy_wheat/FXWFGU.jpg,1128,Triticum aestivum,train,train/Triticum aestivum/CGIAR_FXWFGU.jpg,train/Triticum aestivum/CGIAR_FXWFGU.png,,,,rgb_resize256_png_v1,,,
op_157fea4a74ae09fdf470e63a,AppleLeaf9,AppleLeaf9-main/Health/Health (490).jpg,665,Malus pumila,train,train/Malus pumila/AppleLeaf9_Health (490).jpg,train/Malus pumila/AppleLeaf9_Health (490).png,,,,rgb_resize256_png_v1,,,
op_d10e4ff586a13b649d94fbb6,AppleLeaf9,AppleLeaf9-main/Health/Health (133).jpg,665,Malus pumila,train,train/Malus pumila/AppleLeaf9_Health (133).jpg,train/Malus pumila/AppleLeaf9_Health (133).png,,,,rgb_resize256_png_v1,,,
