source_id,train_count,val_count,test_count,total_count
ATLDSD,286,40,83,409
AppleLeaf9,361,51,104,516
BananaLDI,108,15,32,155
CGIAR,99,14,29,142
CWD30,85687,12233,24507,122427
CWID15,1246,175,364,1785
Cassava,221,31,64,316
Coffee plant disease,304,43,88,435
CornLD,700,100,200,1000
CottonLDD,297,42,86,425
CottonPD,560,80,160,800
CottonWeedDet12,6175,878,1773,8826
CucumberPDD,238,34,69,341
DeepWeeds,5878,837,1688,8403
ESCA,617,88,177,882
Early_crop_weed,354,50,104,508
Fruit Leaf,1589,222,466,2277
ImageWeeds,3155,449,905,4509
MangoLeafBD,350,50,100,500
OLID I,547,76,163,786
OPPD,68553,9772,19637,97962
PLD,714,102,204,1020
PP2020,361,51,104,516
PlantDoc,585,81,184,850
PlantSeedlings,3872,548,1119,5539
PlantVillage,12924,1845,3698,18467
RiceDID,1041,148,299,1488
SorghumWeed,982,140,282,1404
Soybean Leaves,627,89,180,896
SugarcaneDD,70,10,20,100
SugarcaneLDD,365,52,105,522
TobSet,5220,745,1493,7458
VCD,2805,399,805,4009
Weed25,12191,1731,3514,17436
WeedNet-R,4566,652,1306,6524
WheatLD,71,10,21,102
chilli,1817,259,520,2596
plantnet_300K,213772,30413,61961,306146
weed-datasets,4688,669,1342,6699
