catalogue_index,source_id,slug,name,source_group,catalogue_task,catalogue_class_count,catalogue_species_count,catalogue_image_count,observation_scale,environment,target_species,data_url,data_doi,homepage_url,recorded_data_url,mapping_sheet,release_status,mapped_samples,mapped_classes,train,val,test,dataset_license,license_status,license_evidence_url,license_checked_on,notes,citekey,reference_type,reference_title,reference_authors,reference_year,reference_venue,reference_doi,reference_url,reference_verification,additional_citekeys
1,PlantVillage,plantvillage,PlantVillage,disease,Classification,39,14,54309,Single-leaf,Controlled,14 crops,https://data.mendeley.com/datasets/tywbtsjrjv/1,10.17632/tywbtsjrjv.1,https://data.mendeley.com/datasets/tywbtsjrjv/1,https://data.mendeley.com/datasets/tywbtsjrjv/1,PlantVillage,mapped,18467,12,12924,1845,3698,CC0-1.0,declared_on_dataset_page,https://data.mendeley.com/datasets/tywbtsjrjv/1,2026-09-12,"The original adapter uses Plant_leave_diseases_dataset_with_augmentation. The recorded Mendeley deposit reports 61,486 augmented images; the catalogue's 54,309 describes PlantVillage generally. Reconstruct from the recorded deposit and manifest, not an interchangeable PlantVillage mirror. The displayed CC0 label is the deposit's declaration, not an independent clearance of upstream image rights.",hughesOpenAccessRepository2016,misc,An Open Access Repository of Images on Plant Health to Enable the Development of Mobile Disease Diagnostics,"Hughes, David P. and Salathe, Marcel",2016,arXiv,10.48550/arXiv.1511.08060,https://doi.org/10.48550/arXiv.1511.08060,verified,pandianPlantVillageDeposit2019
2,OLID I,olid-i,OLID I,disease,Classification,58,8,4749,Single-leaf,Controlled,8 crops,https://www.kaggle.com/datasets/raiaone/olid-i,,https://www.kaggle.com/datasets/raiaone/olid-i,https://www.kaggle.com/datasets/raiaone/olid-i,OLID I,mapped,786,8,547,76,163,unknown,unknown,,,,orkaOLIDOpenLeaf2023,article,OLID I: An Open Leaf Image Dataset for Plant Stress Recognition,"Orka, Nabil Anan and Uddin, M. Nazim and Toushique, Fardeen Md. and Hossain, M. Shahadath",2023,Front. Plant Sci.,10.3389/fpls.2023.1251888,https://doi.org/10.3389/fpls.2023.1251888,verified,
3,PlantDoc,plantdoc,PlantDoc,disease,Classification,28,10,2598,mixed,mixed,10 crops,https://github.com/pratikkayal/PlantDoc-Dataset,,https://github.com/pratikkayal/PlantDoc-Dataset,https://github.com/pratikkayal/PlantDoc-Dataset,PlantDoc,mapped,850,10,585,81,184,unknown,unknown,,,,singhPlantDocDatasetVisual2020,inproceedings,PlantDoc: A Dataset for Visual Plant Disease Detection,"Singh, Davinder and Jain, Naman and Jain, Pranjali and Kayal, Pratik and Kumawat, Sudhakar and Batra, Nipun",2020,Proceedings of the 7th ACM IKDD CoDS and 25th COMAD,10.1145/3371158.3371196,https://doi.org/10.1145/3371158.3371196,verified,
4,RiceDID,ricedid,Rice Diseases Image Dataset,disease,Classification,4,1,5447,Single-leaf,Controlled,Rice,https://www.kaggle.com/datasets/minhhuy2810/rice-diseases-image-dataset,,https://www.kaggle.com/datasets/minhhuy2810/rice-diseases-image-dataset,https://www.kaggle.com/datasets/minhhuy2810/rice-diseases-image-dataset,RiceDID,mapped,1488,1,1041,148,299,unknown,unknown,,,,huyminhdoRice2019,misc,Rice Diseases Image Dataset,Huy Minh Do,2019,,,https://www.kaggle.com/datasets/minhhuy2810/rice-diseases-image-dataset,manuscript_bibliography,
5,CucumberPDD,cucumberpdd,Cucumber plant diseases dataset,disease,Classification,2,1,679,mixed,Outdoor,Cucumber,https://www.kaggle.com/datasets/kareem3egm/cucumber-plant-diseases-dataset?select=Cucumber+plant+diseases+dataset,,https://www.kaggle.com/datasets/kareem3egm/cucumber-plant-diseases-dataset?select=Cucumber+plant+diseases+dataset,https://www.kaggle.com/datasets/kareem3egm/cucumber-plant-diseases-dataset?select=Cucumber+plant+diseases+dataset,CucumberPDD,mapped,341,1,238,34,69,unknown,unknown,,,,karimnegmCucumber2020,misc,Cucumber Plant Diseases Dataset,Karim Negm,2020,,,https://www.kaggle.com/datasets/kareem3egm/cucumber-plant-diseases-dataset,manuscript_bibliography,
6,WheatLD,wheatld,Wheat Leaf Dataset,disease,Classification,3,1,407,mixed,Outdoor,Wheat,https://data.mendeley.com/datasets/wgd66f8n6h/1,10.17632/wgd66f8n6h.1,https://data.mendeley.com/datasets/wgd66f8n6h/1,https://data.mendeley.com/datasets/wgd66f8n6h/1,WheatLD,mapped,102,1,71,10,21,CC-BY-4.0,declared_on_dataset_page,https://data.mendeley.com/datasets/wgd66f8n6h/1,2026-09-12,,getachewWheat2021,misc,Wheat Leaf Dataset,"Getachew, Hawi",2021,Mendeley Data,,https://data.mendeley.com/datasets/wgd66f8n6h/1,verified,
7,CGIAR,cgiar,CGIAR Computer Vision for Crop Disease,disease,Classification,3,1,1486,mixed,Outdoor,Wheat,https://www.kaggle.com/datasets/shadabhussain/cgiar-computer-vision-for-crop-disease,,https://www.kaggle.com/datasets/shadabhussain/cgiar-computer-vision-for-crop-disease,https://www.kaggle.com/datasets/shadabhussain/cgiar-computer-vision-for-crop-disease,CGIAR,mapped,142,1,99,14,29,unknown,unknown,,,The spreadsheet's paper URL mistakenly points to the AppleLeaf9 paper. This catalogue uses the CGIAR data-page citation from Table 1 and the manuscript bibliography.,shadabhussainCGIAR2020,misc,CGIAR Computer Vision for Crop Disease,Shadab Hussain,2020,,,https://www.kaggle.com/datasets/shadabhussain/cgiar-computer-vision-for-crop-disease,manuscript_bibliography,
8,AppleLeaf9,appleleaf9,AppleLeaf9,disease,Classification,9,1,14582,Single-branch,Outdoor,Apple,https://github.com/JasonYangCode/AppleLeaf9/tree/main,,https://github.com/JasonYangCode/AppleLeaf9/tree/main,https://github.com/JasonYangCode/AppleLeaf9/tree/main,AppleLeaf9,mapped,516,1,361,51,104,unknown,unknown,,,,yangEfficientIdentificationApple2022,article,Efficient Identification of Apple Leaf Diseases in the Wild Using Convolutional Neural Networks,"Yang, Qing and Duan, Shukai and Wang, Lidan",2022,Agronomy,10.3390/agronomy12112784,https://doi.org/10.3390/agronomy12112784,verified,
9,BananaLDI,bananaldi,Banana Leaf Disease Images,disease,Classification,3,1,1288,Single-leaf,Outdoor,Banana,https://data.mendeley.com/datasets/rjykr62kdh/1,10.17632/rjykr62kdh.1,https://data.mendeley.com/datasets/rjykr62kdh/1,https://data.mendeley.com/datasets/rjykr62kdh/1,BananaLDI,mapped,155,1,108,15,32,CC-BY-4.0,declared_on_dataset_page,https://data.mendeley.com/datasets/rjykr62kdh/1,2026-09-12,,hailuBanana2021,misc,Banana Leaf Disease Images,"Hailu, Yordanos",2021,Mendeley Data,,https://data.mendeley.com/datasets/rjykr62kdh/1,verified,
10,ATLDSD,atldsd,Apple Tree Leaf Disease Segmentation Dataset,disease,Segmentation,5,1,1641,Single-branch,Outdoor,Apple,https://www.scidb.cn/en/detail?dataSetId=0e1f57004db842f99668d82183afd578&version=V1,,https://www.scidb.cn/en/detail?dataSetId=0e1f57004db842f99668d82183afd578&version=V1,https://www.scidb.cn/en/detail?dataSetId=0e1f57004db842f99668d82183afd578&version=V1,ATLDSD,mapped,409,1,286,40,83,unknown,unknown,,,,fengApple2022,misc,Apple Tree Leaf Disease Segmentation Dataset,"Feng, Jingze and Chao, Xiaofei",2022,,10.11922/sciencedb.01627,https://doi.org/10.11922/sciencedb.01627,manuscript_bibliography,
